type,year,city,n
Yerli,2010,Diyarbakir,11
Yerli,2010,Duzce,10
Yerli,2010,Edirne,0
Yerli,2010,Elazig,11
Yerli,2010,Erzincan,5
Yerli,2010,Erzurum,7
Yerli,2010,Eskisehir,42
Yerli,2010,Gaziantep,10
Yerli,2010,Giresun,6
Yerli,2010,Gumushane,0
Yerli,2010,Hakkari,3
Yerli,2010,Hatay,37
Yerli,2010,Igdir,2
Yerli,2010,Isparta,0
Yerli,2010,Istanbul,1532
Yerli,2010,Izmir,321
Yerli,2010,Kahramanmaras,6
Yerli,2010,Karabuk,12
Yerli,2010,Karaman,0
Yerli,2010,Kars,4
Yerli,2010,Kastamonu,0
Yerli,2010,Kayseri,25
Yerli,2010,Kilis,0
Yerli,2010,Kirikkale,8
Yerli,2010,Kirklareli,7
Yerli,2010,Kirsehir,32
Yerli,2010,Kocaeli,53
Yerli,2010,Konya,15
Yerli,2010,Kutahya,10
Yerli,2010,Malatya,9
Yerli,2010,Manisa,41
Yerli,2010,Mardin,14
Yerli,2010,Mersin,6
Yerli,2010,Mugla,28
Yerli,2010,Mus,0
Yerli,2010,Nevsehir,9
Yerli,2010,Nigde,8
Yerli,2010,Ordu,12
Yerli,2010,Osmaniye,7
Yerli,2010,Rize,0
Yerli,2010,Sakarya,49
Yerli,2010,Samsun,36
Yerli,2010,Sanliurfa,8
Yerli,2010,Siirt,3
Yerli,2010,Sinop,12
Yerli,2010,Sirnak,0
Yerli,2010,Sivas,5
Yerli,2010,Tekirdag,0
Yerli,2010,Tokat,0
Yerli,2010,Trabzon,13
Yerli,2010,Tunceli,3
Yerli,2010,Usak,6
Yerli,2010,Van,23
Yerli,2010,Yalova,13
Yerli,2010,Yozgat,0
Yerli,2010,Zonguldak,20
Yerli,2011,Adana,53
Yerli,2011,Adiyaman,13
